alpha,Js,Jc,J,rho_end_1,rho_end_2,rho_end_3,rho_end_4,rho_end_5
0.001,100,351.26982690368,351.36982690368,1,15.2061567300851,10,13.9471028425496,1
0.1,100,347.261444884143,357.261444884143,1,15,10,10,1
10,20.3173438553186,400.742570620973,603.916009174158,1,15,10,10,0.450747643979628
